transaction_id,transaction_date,transaction_type,community,project,building,property_type,rooms_bucket,area_sqft,price_aed,price_per_sqft,is_offplan
BAY-2025-02-21-87210,2025-02-21,sale,Culture Village (Jaddaf Waterfront),La Boutique by LMD,,apartment,1BR,550.9,1002750.0,1820.2,True
BAY-2025-02-21-22293,2025-02-21,sale,Jumeirah Golf Estates,Jasmine Lane,,villa,3BR+,2199.82,5000000.0,2272.91,True
BAY-2025-02-21-17662,2025-02-21,sale,Dubai Harbour,Emaar Beachfront,Grand Bleu Towers,apartment,2BR,1522.77,4390888.0,2883.49,True
BAY-2025-02-21-5085,2025-02-21,sale,Meydan City,Meydan One,Azizi Riviera,apartment,1BR,530.98,877000.0,1651.66,True
BAY-2025-02-21-895,2025-02-21,sale,Downtown Dubai,The Address Downtown Hotel (Lake Hotel),,apartment,2BR,1732.02,10000000.0,5773.61,True
BAY-2025-02-21-1563,2025-02-21,sale,Town Square,Hayat Townhouses,,villa,3BR+,2418.65,3175000.0,1312.72,True
BAY-2025-02-21-80549,2025-02-21,sale,DAMAC Lagoons,Monte Carlo,,townhouse,3BR+,2363.0,3200000.0,1354.21,True
BAY-2025-03-24-51,2025-03-24,sale,Dubailand,,,land,,,620000.0,,True
BAY-2025-03-24-51,2025-03-24,sale,Dubailand,,,land,,,620000.0,,True
BAY-2025-03-24-85162,2025-03-24,sale,Jumeirah Village Circle (JVC),JVC District 12,Samana Manhattan 2,apartment,2BR,1308.89,1724025.6,1317.17,True
BAY-2025-03-24-88160,2025-03-24,sale,Dubai Production City (IMPZ),Samana Resorts,Samana Resorts Tower A,apartment,1BR,813.32,1217510.11,1496.96,True
BAY-2025-03-24-87255,2025-03-24,sale,Business Bay,Canal Bay,,apartment,2BR,1264.22,2610000.0,2064.51,True
BAY-2025-03-24-83219,2025-03-24,sale,Tilal Al Ghaf,Harmony,Harmony 2,villa,3BR+,4098.89,8100000.0,1976.14,True
BAY-2025-03-24-86085,2025-03-24,sale,Jumeirah Village Circle (JVC),JVC District 12,Maison Elysee,apartment,studio,399.02,675900.49,1693.9,True
BAY-2025-03-24-85038,2025-03-24,sale,Jumeirah Village Triangle (JVT),JVT District 5,The Ivy,apartment,1BR,835.92,1100000.0,1315.92,True
BAY-2025-03-24-88187,2025-03-24,sale,Dubai Maritime City,Orise by Beyond,Orise by Beyond Tower 1,apartment,2BR,1350.33,3929000.0,2909.66,True
BAY-2025-03-24-84187,2025-03-24,sale,Downtown Dubai,St. Regis The Residences,St. Regis The Residences Tower 1,apartment,1BR,928.39,1943243.0,2093.13,True
BAY-2025-03-24-734,2025-03-24,sale,Dubai Marina,Marina Residence,Marina Residence B,apartment,1BR,723.01,990000.0,1369.28,True
BAY-2025-03-24-87821,2025-03-24,sale,Dubai Production City (IMPZ),Imperial Residence,,apartment,1BR,892.11,1306470.0,1464.47,True
BAY-2025-03-24-1824,2025-03-24,sale,Al Furjan,Azizi Freesia,,apartment,2BR,1264.87,1300000.0,1027.77,True
BAY-2025-03-24-5465,2025-03-24,sale,Dubai Sports City,The Community Sports Arena,,apartment,3BR+,1748.49,1905888.0,1090.02,True
BAY-2025-03-24-5195,2025-03-24,sale,Liwan,Queue Point,Mazaya 5,apartment,1BR,804.6,615000.0,764.35,True
BAY-2025-03-24-86844,2025-03-24,sale,International City,International City Phase 2 (Warsan 4),HZ Residences 4,apartment,1BR,773.92,673181.67,869.83,True
BAY-2025-03-24-87733,2025-03-24,sale,Dubai South,Azizi Venice,Azizi Venice 10,apartment,studio,341.65,550000.0,1609.83,True
BAY-2025-03-24-87664,2025-03-24,sale,Al Jaddaf,Dubai Healthcare City Phase 2,Binghatti Ivory,apartment,studio,468.44,827000.0,1765.43,True
BAY-2025-03-24-87697,2025-03-24,sale,Al Satwa,Jumeirah Garden City,Evergr1n House,apartment,studio,394.28,353157.38,895.7,True
BAY-2025-03-24-87697,2025-03-24,sale,Al Satwa,Jumeirah Garden City,Evergr1n House,apartment,studio,397.62,354975.31,892.75,True
BAY-2025-03-24-87821,2025-03-24,sale,Dubai Production City (IMPZ),Imperial Residence,,apartment,studio,542.18,794002.0,1464.46,True
BAY-2025-03-24-88152,2025-03-24,sale,Al Furjan,The Hub Residences by ZaZEN,,apartment,2BR,1472.39,1915000.0,1300.61,True
BAY-2025-03-24-18455,2025-03-24,sale,Dubailand,Villanova,Amaranta,villa,3BR+,2163.11,2650000.0,1225.09,True
